지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
고흥,2022.1.1,-0.5,,1,46.1,7.9,
고흥,2022.1.2,0.6,,1.5,68.4,7,
고흥,2022.1.3,0.3,,1.4,60.5,8,
고흥,2022.1.4,2.5,,2.1,56.8,8,
고흥,2022.1.5,2.4,0.2,0.6,62.6,0,
고흥,2022.1.6,2.9,0,1.8,46.9,8,
고흥,2022.1.7,-0.2,,0.7,57.8,8,
고흥,2022.1.8,1,,1.8,59.8,8.1,
고흥,2022.1.9,2,,1,75.8,6.4,
고흥,2022.1.10,2.4,,1.2,70,8,
고흥,2022.1.11,-0.5,,4,63.8,6.1,
고흥,2022.1.12,-2,,2.7,62.6,7.9,
고흥,2022.1.13,-1.3,0,2.8,66.4,6.1,
고흥,2022.1.14,-0.8,,1.6,52.5,8.1,
고흥,2022.1.15,1.3,,0.9,61,7,
고흥,2022.1.16,2.3,,2.5,62.1,6.4,
고흥,2022.1.17,1,,2.4,59.4,5.7,
고흥,2022.1.18,-1.5,,1.9,44.3,8.3,
고흥,2022.1.19,-0.4,,1.6,56,8,
고흥,2022.1.20,-1.1,,1.6,53.1,8.3,
고흥,2022.1.21,0,,0.5,64.9,6.3,
고흥,2022.1.22,5.8,,1,63.6,3.7,
고흥,2022.1.23,7.2,,0.7,67.8,0.4,
고흥,2022.1.24,6.3,,1.3,60.9,3.5,
고흥,2022.1.25,5.1,0,1,66.5,0,
고흥,2022.1.26,4.4,,2,58.8,8.4,
고흥,2022.1.27,2.9,,2.3,52.9,6.1,
고흥,2022.1.28,2.1,,3.5,44.6,7.8,
고흥,2022.1.29,1.8,,3.1,39.4,7.2,
고흥,2022.1.30,1.8,,2.8,36.5,7.6,
고흥,2022.1.31,1.5,,2.1,49.9,8.6,
고흥,2022.2.1,2.3,0,2.8,59,6.5,
고흥,2022.2.2,1.5,,3.2,52.9,5.9,
고흥,2022.2.3,1.6,,2.5,45.6,8.6,
고흥,2022.2.4,0.3,,2.8,50.6,8.3,
고흥,2022.2.5,-1,0,3.7,60.1,8.4,
고흥,2022.2.6,0.3,,2.6,59.4,7,
고흥,2022.2.7,0.6,,1.6,46,0.8,
고흥,2022.2.8,2.3,,1.5,46.6,8.8,
고흥,2022.2.9,3.1,,0.7,58.6,6.6,
고흥,2022.2.10,5,,2.3,42.6,7.9,
고흥,2022.2.11,3.1,,0.6,47.8,8.8,
고흥,2022.2.12,5.8,,0.7,43.6,8.5,
고흥,2022.2.13,7.9,,1,54.1,5.2,
고흥,2022.2.14,5.9,,1.4,63,5.7,
고흥,2022.2.15,0.7,,4.2,53.9,8.4,
고흥,2022.2.16,-1.9,0,4.1,62.1,5.9,
고흥,2022.2.17,-3.1,,2.6,49.6,9.1,
고흥,2022.2.18,2.2,,1.3,49.4,8.3,
고흥,2022.2.19,3.2,,2.5,54.4,2.1,
고흥,2022.2.20,-1.3,0,4.3,50.9,9.3,
고흥,2022.2.21,0.9,,2.4,57.8,9.2,
고흥,2022.2.22,0.7,,3.1,43.9,9.2,
고흥,2022.2.23,-1,,3.9,40.6,7,
고흥,2022.2.24,0.6,,3.1,48.3,9.7,
고흥,2022.2.25,3.9,,2.1,56.3,9.7,
고흥,2022.2.26,5.4,,1.9,67,8.3,
고흥,2022.2.27,5.3,,2.4,37,9.8,
고흥,2022.2.28,5.6,,0.8,52.9,5.9,
고흥,2022.3.1,8,5.6,1.8,77.4,4,
고흥,2022.3.2,4.2,,3.7,52.1,10,
고흥,2022.3.3,5.6,,1.3,73.3,9.8,
고흥,2022.3.4,8.5,,1.5,75.9,6.3,
고흥,2022.3.5,6,0,3.7,44.8,10,
고흥,2022.3.6,3.7,,3.2,40.8,10,
고흥,2022.3.7,4.8,,1.1,44.9,7.1,
고흥,2022.3.8,6.1,,1.1,51.8,10.1,
고흥,2022.3.9,7.7,,1,52.8,10.2,
고흥,2022.3.10,8.2,,0.9,69.1,8.3,
고흥,2022.3.11,12.1,0,0.5,77,0.5,
고흥,2022.3.12,15.2,,1.5,75.1,8.3,
고흥,2022.3.13,13.8,11.9,1.2,95.3,0,
고흥,2022.3.14,10.9,0,2.1,94.3,0,
고흥,2022.3.15,9.9,,1.8,64.1,9.4,
고흥,2022.3.16,11.7,,1,57.1,10.3,
고흥,2022.3.17,10.4,8.5,2,77.8,0,
고흥,2022.3.18,8.6,18.5,2.3,80,1.2,
고흥,2022.3.19,4.7,6,1.8,83.5,0.8,
고흥,2022.3.20,5.1,,1.7,74.1,5.8,
고흥,2022.3.21,6.9,0,0.9,59,5.4,
고흥,2022.3.22,8.3,,1.3,57.3,8.2,
고흥,2022.3.23,7.7,,1.4,64.4,5.8,
고흥,2022.3.24,7.8,,0.9,63.4,10.6,
고흥,2022.3.25,11.9,28.3,2.4,83.9,0.1,
고흥,2022.3.26,11.7,37.6,3.9,84.8,0.6,
고흥,2022.3.27,11.1,,2.5,43.8,9.9,
고흥,2022.3.28,7.8,,1.3,55,7.7,
고흥,2022.3.29,8.7,,0.9,69.9,10.7,
고흥,2022.3.30,13.5,,0.8,80.4,4.4,
고흥,2022.3.31,12.3,,2.1,73,4.2,
고흥,2022.4.1,10,0,1.1,62.5,6.3,
고흥,2022.4.2,8.7,,1.3,61.9,10.1,
고흥,2022.4.3,7.9,,1,60,10.9,
고흥,2022.4.4,10,,1.1,52,10.9,
고흥,2022.4.5,10,,1.5,39.8,8.2,
고흥,2022.4.6,12.4,,1.3,52.9,10.8,
고흥,2022.4.7,12.8,,2.2,53.3,9.3,
고흥,2022.4.8,11.8,,1.2,58.8,10.9,
고흥,2022.4.9,13.8,,1.3,63.9,10.8,
고흥,2022.4.10,15.6,,1.5,73.9,10.4,
고흥,2022.4.11,16.9,0,1.1,89.4,1.4,
고흥,2022.4.12,18.9,,1.4,81.8,7.4,
고흥,2022.4.13,14.7,0.1,1.7,84.5,0.6,
고흥,2022.4.14,13.1,0,1.9,71,3.8,
고흥,2022.4.15,12.4,,1.6,68.5,7.6,
고흥,2022.4.16,10.3,,1.2,68.5,10.4,
고흥,2022.4.17,13.1,,1.6,40.4,10.6,
고흥,2022.4.18,14.7,,1.2,41,6.8,
고흥,2022.4.19,15.3,,1.3,34,10.4,
고흥,2022.4.20,14.3,,1.1,41.8,11.1,
고흥,2022.4.21,11.1,7.5,0.5,77.3,2.8,
고흥,2022.4.22,15,,1.5,74,10.7,
고흥,2022.4.23,17.1,,1.3,76,2.5,
고흥,2022.4.24,19.5,,1.2,72.3,10,
고흥,2022.4.25,18.5,40.1,1.1,79,5.5,
고흥,2022.4.26,18,18.5,1.3,96,0,
고흥,2022.4.27,16.4,,1.2,63.9,9.5,
고흥,2022.4.28,15.3,0,1.2,65.9,7.4,
고흥,2022.4.29,12.4,15.4,1,81.3,0.7,
고흥,2022.4.30,13.5,,1.6,68.4,3,
고흥,2022.5.1,13.9,,2.4,45.5,11.9,
고흥,2022.5.2,13.6,,2,51.5,10.7,
고흥,2022.5.3,11.8,,1.3,60.3,11.9,
고흥,2022.5.4,13.1,,1.2,62.6,11.8,
고흥,2022.5.5,15.3,,1.1,72.4,11.8,
고흥,2022.5.6,17.5,,1.1,76.4,11.3,
고흥,2022.5.7,18.5,,2.1,68.3,11.2,
고흥,2022.5.8,16.4,,1.7,56.1,8.8,
고흥,2022.5.9,15.3,,1.1,63,7.7,
고흥,2022.5.10,16.2,0,1.3,59.8,3.9,
고흥,2022.5.11,17.9,,0.6,71.3,1.8,
고흥,2022.5.12,19.8,,0.9,76.5,2.1,
고흥,2022.5.13,17,1.3,0.9,81.4,0,
고흥,2022.5.14,16.2,,2.5,42.9,10.3,
고흥,2022.5.15,15.5,,2,39.6,9.4,
고흥,2022.5.16,16.1,,1.5,43.8,11.6,
고흥,2022.5.17,17,,1.4,58,11.9,
고흥,2022.5.18,19,,1.3,50.8,11.7,
고흥,2022.5.19,17.7,,0.8,50.1,3.5,
고흥,2022.5.20,18.3,,0.9,69.3,3.2,
고흥,2022.5.21,20.2,,2,64.4,12.1,
고흥,2022.5.22,22.2,,1.7,54.4,11.6,
고흥,2022.5.23,21.7,,1.2,60.9,9.5,
고흥,2022.5.24,21.1,,1.1,53.1,11.5,
고흥,2022.5.25,20.7,,1.2,63.5,10.8,
고흥,2022.5.26,20.5,,2.4,52.5,8.9,
고흥,2022.5.27,20.7,,1.9,51.5,12.4,
고흥,2022.5.28,20.4,,1.2,57.5,7.6,
고흥,2022.5.29,19.5,0.2,1.2,69.5,9,
고흥,2022.5.30,19.8,0.1,1.6,81.5,0.3,
고흥,2022.5.31,20.2,,1.9,49.3,11.9,
고흥,2022.6.1,19.8,,1,58.4,10,
고흥,2022.6.2,20.3,,1.3,75.8,11.6,
고흥,2022.6.3,20.9,,1.5,78.1,11.2,
고흥,2022.6.4,20.2,,2,68.6,8.2,
고흥,2022.6.5,18,41.4,2.3,87.8,0,
고흥,2022.6.6,20.2,,2,77.6,9.4,
고흥,2022.6.7,17.9,2.1,2.1,79,1.1,
고흥,2022.6.8,17.5,0.5,1.1,83.4,2.7,
고흥,2022.6.9,18.4,,1,76.1,9.2,
고흥,2022.6.10,19.1,,1,78.9,5.6,
고흥,2022.6.11,21.3,,1.1,75.8,7.8,
고흥,2022.6.12,19.8,,1.2,78.5,8.3,
고흥,2022.6.13,19.4,4,1.5,73.5,0,
고흥,2022.6.14,18.1,1.6,1.9,81.8,0,
고흥,2022.6.15,20.2,0,1.2,83.9,5.3,
고흥,2022.6.16,22.2,,1.4,73.5,9,
고흥,2022.6.17,22.2,,0.9,82.3,4.3,
고흥,2022.6.18,23.2,0,1.5,80.6,7.9,
고흥,2022.6.19,22.9,,1,85.1,5.9,
고흥,2022.6.20,23.6,,0.9,83.1,4.6,
고흥,2022.6.21,25.4,,1.2,75.9,7.6,
고흥,2022.6.22,24.9,,1.6,78.8,11.1,
고흥,2022.6.23,24.8,0,1.8,85,2,
고흥,2022.6.24,23.9,33.4,2.2,89.5,2,
고흥,2022.6.25,24.6,,1.4,85,3.9,
고흥,2022.6.26,25.4,0,2.1,86.8,4.3,
고흥,2022.6.27,25,0,3.7,91.3,0.2,
고흥,2022.6.28,25,0,4.2,90,0.3,
고흥,2022.6.29,24.8,3.2,3.1,91.8,0.5,
고흥,2022.6.30,25.6,0.1,2.4,87.5,9.7,
고흥,2022.7.1,25.7,,1.1,86,8.8,
고흥,2022.7.2,26.7,,0.9,76,9.5,
고흥,2022.7.3,26.8,0,1.1,74.5,6,
고흥,2022.7.4,26.1,0.6,1.3,81,8.6,
고흥,2022.7.5,26.9,,1,78.9,8.3,
고흥,2022.7.6,27.5,0,1.4,82.9,7.1,
고흥,2022.7.7,27.5,,1.9,82.3,6.7,
고흥,2022.7.8,27,22.5,1.5,85.5,2.4,
고흥,2022.7.9,26.5,,1.7,76,11,
고흥,2022.7.10,26.6,,1.1,83.1,9.8,
고흥,2022.7.11,26.1,6,0.8,87.1,2.6,
고흥,2022.7.12,24.8,,1.9,85,2.4,
고흥,2022.7.13,23.9,,1.3,88.1,0,
고흥,2022.7.14,28.2,1.7,2.7,76.1,8.2,
고흥,2022.7.15,26.6,,1.6,78.4,8.9,
고흥,2022.7.16,26.1,,1.8,69.4,10.1,
고흥,2022.7.17,25.1,0.2,1.4,82.1,1.3,
고흥,2022.7.18,23.7,115.9,1.3,94.3,0,
고흥,2022.7.19,26.5,,2.4,76,9.9,
고흥,2022.7.20,25.5,0,1.1,78.4,9.3,
고흥,2022.7.21,25,2.3,3.1,80.6,4.9,
고흥,2022.7.22,25.2,,2,72.6,9.5,
고흥,2022.7.23,23.7,12.5,1.2,88,3,
고흥,2022.7.24,25.2,25.8,2.1,84.5,5.6,
고흥,2022.7.25,26.1,,1.5,77.9,7.9,
고흥,2022.7.26,24.7,,1.1,83.6,5.9,
고흥,2022.7.27,25.3,,1.4,79.1,10.1,
고흥,2022.7.28,25.6,,1.2,86,7.3,
고흥,2022.7.29,28.5,,1.5,72,11.3,
고흥,2022.7.30,27.7,0.7,2,74.1,0.9,
고흥,2022.7.31,26.4,80.5,4,87.4,0,
고흥,2022.8.1,26.6,17,3.7,88.9,0.2,
고흥,2022.8.2,27,11.4,1.9,87.5,1.9,
고흥,2022.8.3,27.1,1.8,1.2,88.4,6.5,
고흥,2022.8.4,27.6,,1.1,83.8,8.2,
고흥,2022.8.5,28.2,,1.2,83.1,9,
고흥,2022.8.6,28.5,,1.4,81.5,7.8,
고흥,2022.8.7,28.3,,1.4,82.6,8,
고흥,2022.8.8,28.3,,2.1,79.8,6.5,
고흥,2022.8.9,27.7,,1.8,79.6,4.7,
고흥,2022.8.10,27.6,,1.6,81,2.8,
고흥,2022.8.11,27.1,0,1.4,86.4,0,
고흥,2022.8.12,26.9,3.8,1.3,90.8,1.7,
고흥,2022.8.13,27.4,,1,85.8,5.6,
고흥,2022.8.14,28.4,,1.7,79.6,9.2,
고흥,2022.8.15,27.6,,2,82.5,8.3,
고흥,2022.8.16,26.4,52.9,1.4,90.3,0,
고흥,2022.8.17,24.8,3.6,0.8,93.5,2.2,
고흥,2022.8.18,23.7,,0.7,83,10.5,
고흥,2022.8.19,25.7,,1.3,86.8,5.4,
고흥,2022.8.20,26.3,1.4,1.2,92.1,0.8,
고흥,2022.8.21,25,,0.8,85.9,6,
고흥,2022.8.22,24,,0.8,75.1,10.5,
고흥,2022.8.23,25.4,0.2,0.6,88.5,0.8,
고흥,2022.8.24,23.9,16.1,0.7,93,0.4,
고흥,2022.8.25,23.7,,1,79.5,8.8,
고흥,2022.8.26,23.1,,1.1,70,6.8,
고흥,2022.8.27,22.1,,1.5,70.6,8.6,
고흥,2022.8.28,20.2,,0.7,74.6,2.7,
고흥,2022.8.29,22.6,0,1,74.3,3.5,
고흥,2022.8.30,22.8,0.3,0.5,91.4,0,
고흥,2022.8.31,23.2,1.4,1.3,86.5,2.1,
고흥,2022.9.1,21.7,0,0.8,84.8,0,
고흥,2022.9.2,21.4,6.4,2,85.6,0.2,
고흥,2022.9.3,23.3,0.2,2.3,82,0.7,
고흥,2022.9.4,25.3,0,1.8,84.4,3.4,
고흥,2022.9.5,24.5,110.6,2.1,90.3,0,
고흥,2022.9.6,22,69.5,4.1,76.6,7.3,
고흥,2022.9.7,21.2,,0.8,75.9,10.7,
고흥,2022.9.8,20.5,,0.6,75.6,9.8,
고흥,2022.9.9,21.2,,0.7,77.3,7.1,
고흥,2022.9.10,22,,1.3,71.8,3.4,
고흥,2022.9.11,22.7,,1,76.3,7.4,
고흥,2022.9.12,22.8,0.9,0.7,86.4,0.6,
고흥,2022.9.13,24.6,0,1.2,71.9,1.8,
고흥,2022.9.14,24.3,,1.9,65.1,4.3,
고흥,2022.9.15,24.3,,2.5,75,3.7,
고흥,2022.9.16,24.7,0,1.6,84.1,5.9,
고흥,2022.9.17,25.4,0,0.9,82,6.5,
고흥,2022.9.18,27.7,,1.7,69.4,4.4,
고흥,2022.9.19,25.7,,3.6,65.3,10.1,
고흥,2022.9.20,20.6,0,1.1,62.3,5.1,
고흥,2022.9.21,18.1,,0.9,70.5,8.7,
고흥,2022.9.22,18.2,,1.1,73.4,7.7,
고흥,2022.9.23,18.9,,2,71.5,7.6,
고흥,2022.9.24,17.9,,1.3,62.1,7.6,
고흥,2022.9.25,17.4,0,0.5,78,0,
고흥,2022.9.26,17.9,0,0.5,84,0.3,
고흥,2022.9.27,19.9,0,0.8,75.3,9.6,
고흥,2022.9.28,20.1,,0.5,80.1,4.8,
고흥,2022.9.29,20.1,,0.7,77.6,10.2,
고흥,2022.9.30,18.9,,0.7,80.6,10,
고흥,2022.10.1,19.5,,0.5,81.6,9.7,
고흥,2022.10.2,20.1,,0.9,84.3,9.5,
고흥,2022.10.3,25.2,,2.6,79.4,7.1,
고흥,2022.10.4,20.5,12.2,3,80.5,2.8,
고흥,2022.10.5,16.9,0,0.9,74.1,5.1,
고흥,2022.10.6,16.4,0,0.8,75.3,3.9,
고흥,2022.10.7,15.9,0.1,2.3,65.3,7.4,
고흥,2022.10.8,16.9,,1.7,61.9,1.8,
고흥,2022.10.9,15.3,0.9,1.9,76.3,0,
고흥,2022.10.10,13.4,0,3.5,63.8,6.8,
고흥,2022.10.11,13.8,,2.5,63.5,10.1,
고흥,2022.10.12,13.6,,1,71,9.9,
고흥,2022.10.13,16.4,,1.3,67.4,8.9,
고흥,2022.10.14,16.1,,0.8,75.6,9.6,
고흥,2022.10.15,16.7,,0.6,80.6,9.5,
고흥,2022.10.16,17.9,,1,75.6,9.2,
고흥,2022.10.17,14.2,,3.3,54.8,9.5,
고흥,2022.10.18,10.3,,2,50,9.6,
고흥,2022.10.19,10.1,,1.4,61,9.6,
고흥,2022.10.20,10.5,,0.8,72.5,9.6,
고흥,2022.10.21,14.4,0,0.5,77.9,5.4,
고흥,2022.10.22,17.3,0,1.2,70.3,7.9,
고흥,2022.10.23,15.3,,2.6,61.4,9.3,
고흥,2022.10.24,11.2,,2.5,53.6,9.2,
고흥,2022.10.25,8.6,,0.8,65.1,9.2,
고흥,2022.10.26,13,,0.9,60.6,7.8,
고흥,2022.10.27,13.1,,0.6,67.8,8.6,
고흥,2022.10.28,12.2,,0.6,76.1,7.6,
고흥,2022.10.29,14.1,,1,75.5,7.8,
고흥,2022.10.30,14.1,,1,74.5,7.6,
고흥,2022.10.31,13.5,,1.1,68.6,8.8,
고흥,2022.11.1,13,,1,73.8,8.7,
고흥,2022.11.2,11.4,,0.6,76.8,8.6,
고흥,2022.11.3,12.2,,1.1,63.1,8.7,
고흥,2022.11.4,9.3,,3.2,49.3,8.7,
고흥,2022.11.5,8.7,,2.3,47.4,8.8,
고흥,2022.11.6,7.7,,0.6,73.6,8.7,
고흥,2022.11.7,8.8,,0.6,77.5,8.5,
고흥,2022.11.8,10,,0.5,75.5,8.6,
고흥,2022.11.9,9.9,,0.5,71,8.4,
고흥,2022.11.10,12.9,0,0.5,67.3,4.2,
고흥,2022.11.11,15.3,,1.2,70.5,5.7,
고흥,2022.11.12,16.7,2,1,87.4,2.3,
고흥,2022.11.13,12.6,14.5,3.2,77.9,3.6,
고흥,2022.11.14,10.6,,1.3,71.3,2.3,
고흥,2022.11.15,8.8,,1.9,66.4,8.5,
고흥,2022.11.16,9,,1,77.1,7.6,
고흥,2022.11.17,8.5,,0.6,70.9,6.8,
고흥,2022.11.18,9.5,,0.7,66.5,8.4,
고흥,2022.11.19,14.2,,1.5,59.6,7,
고흥,2022.11.20,12.1,0,0.7,82.6,0,
고흥,2022.11.21,10,,0.4,84.4,4,
고흥,2022.11.22,11.8,1.4,0.6,82.4,0,
고흥,2022.11.23,11.6,0.2,1.8,78.3,7.3,
고흥,2022.11.24,8.9,,0.6,68.6,7.1,
고흥,2022.11.25,9,,0.5,83,8.2,
고흥,2022.11.26,9.9,,1.5,65.8,8,
고흥,2022.11.27,8.4,,0.8,65.5,5.8,
고흥,2022.11.28,16,35.6,1.9,84.4,0.4,
고흥,2022.11.29,13,6.8,3.1,66.3,0,
고흥,2022.11.30,1.1,,3.2,51.4,3.6,
고흥,2022.12.1,0.2,,1.7,52.1,5,
고흥,2022.12.2,1.1,,0.6,63.5,8.1,
고흥,2022.12.3,6.4,,0.6,67.6,0.8,
고흥,2022.12.4,5,,2.3,40.5,6.5,
고흥,2022.12.5,1.8,,2.1,32.1,6,
고흥,2022.12.6,3,,1.5,58.1,8,
고흥,2022.12.7,4.9,,1.6,61.1,7.7,
고흥,2022.12.8,5,,0.6,69.4,7,
고흥,2022.12.9,5.5,0,0.6,77.1,1.5,
고흥,2022.12.10,5.2,0,0.8,71.3,0.2,
고흥,2022.12.11,4.5,,1.7,52.4,7.7,
고흥,2022.12.12,3.1,0.3,1,71.1,1.7,
고흥,2022.12.13,6.2,0,3.6,50.5,6.6,
고흥,2022.12.14,-0.9,,3.3,60,7.5,
고흥,2022.12.15,0.1,,0.7,69.6,7.9,
고흥,2022.12.16,2.1,,2.1,43.3,2.8,
고흥,2022.12.17,-0.5,0,3.3,50.4,5.4,
고흥,2022.12.18,-4.6,1.9,1.1,80.8,1.4,
고흥,2022.12.19,-2.7,0,0.5,80.6,6.7,
고흥,2022.12.20,0.5,,0.6,73.8,7.9,
고흥,2022.12.21,3.8,0.8,1.2,83.6,0.6,
고흥,2022.12.22,-1.6,0.2,3,80.6,3.5,
고흥,2022.12.23,-2.6,0.5,4.3,69.3,3.4,
고흥,2022.12.24,-3,0,2.3,70,8,
고흥,2022.12.25,-0.4,,2.3,67.6,7.9,
고흥,2022.12.26,0.7,,2,64.8,6,
고흥,2022.12.27,2,,2.2,57.6,7.9,
고흥,2022.12.28,1.9,,2.1,64.4,7.7,
고흥,2022.12.29,0.1,,1.7,64.3,7.9,
고흥,2022.12.30,0.5,,0.9,68.9,7.4,
고흥,2022.12.31,1.3,,2.5,64.4,7.9,
고흥,2023.1.1,2.1,,1.9,64,7.9,
고흥,2023.1.2,0.9,,3.1,41,6.8,
고흥,2023.1.3,0.5,,2.2,57,7.9,
고흥,2023.1.4,0.7,,1.9,61,7.9,
고흥,2023.1.5,1.3,0,0.6,80,3.9,
고흥,2023.1.6,3.2,1.1,0.7,78.5,7.2,
고흥,2023.1.7,4.4,0.1,3.2,57.5,7.1,
고흥,2023.1.8,1.8,,0.8,72.6,8,
고흥,2023.1.9,4.3,,1.1,77.6,6.2,
고흥,2023.1.10,2.9,,0.8,73.9,7.8,
고흥,2023.1.11,4,,0.6,82.4,8.1,
고흥,2023.1.12,7.7,3.9,0.8,86,4.9,
고흥,2023.1.13,15.3,48.4,2.4,89.6,0.3,
고흥,2023.1.14,9.7,0.2,1.1,89.5,0,
고흥,2023.1.15,2.4,0,3.3,76.5,0.5,
고흥,2023.1.16,-0.7,,3.2,57.3,8.2,
고흥,2023.1.17,-0.5,,2.3,53.6,7.9,
고흥,2023.1.18,0.1,,1.1,70.4,6.6,
고흥,2023.1.19,-0.3,,1,75.1,8.3,
고흥,2023.1.20,1.5,,2.2,52,5.1,
고흥,2023.1.21,-1.9,,1.2,58.1,8.3,
고흥,2023.1.22,1.7,,1,55.5,0,
고흥,2023.1.23,3.5,,2,61.6,6.5,
고흥,2023.1.24,-6.6,0,5.2,56.5,6.3,
고흥,2023.1.25,-7,,2.4,44.6,8.4,
고흥,2023.1.26,-0.1,,1,64.3,3.2,
고흥,2023.1.27,-1.9,,3.5,54.4,7.6,
고흥,2023.1.28,-1.8,,2.7,50,7.4,
고흥,2023.1.29,1.5,,1.4,63,8.5,
고흥,2023.1.30,1.3,,2.4,49.3,8.5,
고흥,2023.1.31,0.6,,0.6,69.3,8.3,
고흥,2023.2.1,3.8,,2.3,61.5,8.5,
고흥,2023.2.2,1,,1.6,46.1,7.6,
고흥,2023.2.3,1.2,,1.9,47.5,7.5,
고흥,2023.2.4,1.6,,2.3,53.6,8.7,
고흥,2023.2.5,0.6,,0.7,58.1,8.7,
고흥,2023.2.6,2.8,,0.5,52,3.1,
고흥,2023.2.7,5,,0.7,53.8,7.4,
고흥,2023.2.8,4.4,,1.7,51.3,8.8,
고흥,2023.2.9,5.3,11.4,1.6,60.9,2.7,
고흥,2023.2.10,5.4,17.1,1.9,79.6,6.1,
고흥,2023.2.11,3.5,,0.5,84.6,0.6,
고흥,2023.2.12,5.2,4,0.8,80.4,1.8,
고흥,2023.2.13,7,0.3,1,79.9,0.9,
고흥,2023.2.14,3.4,,2.1,71.6,8.7,
고흥,2023.2.15,4,,0.9,66.3,0.6,
고흥,2023.2.16,4.3,,0.8,73.8,3,
고흥,2023.2.17,3.7,1.1,0.5,84.1,0.1,
고흥,2023.2.18,8,0.2,0.6,89.4,0,
고흥,2023.2.19,5.4,0.1,3.4,68.6,4.8,
고흥,2023.2.20,1.6,,2.7,51.1,9.3,
고흥,2023.2.21,-0.4,,1.5,46,8.6,
고흥,2023.2.22,3.7,0.9,0.7,67.8,6.2,
고흥,2023.2.23,5.8,2,0.9,69.4,8.7,
고흥,2023.2.24,7.2,,1.9,42.1,8.1,
고흥,2023.2.25,2,,3.5,45.8,9.7,
고흥,2023.2.26,2.1,,1,46.9,9.7,
고흥,2023.2.27,3.6,,1,62.9,9.8,
고흥,2023.2.28,5.8,,1,77.9,9.9,
고흥,2023.3.1,7.5,0,2,64.9,2.7,
고흥,2023.3.2,3.8,,3.5,37.1,10,
고흥,2023.3.3,5.6,,2,38.9,8.7,
고흥,2023.3.4,6.7,,0.8,52.6,8.9,
고흥,2023.3.5,6.6,,0.7,68.1,9.8,
고흥,2023.3.6,7.7,,1.2,71.1,10.1,
고흥,2023.3.7,10.3,,1.1,67.1,9.9,
고흥,2023.3.8,11.1,,1,68.9,10.1,
고흥,2023.3.9,14.2,0.4,1.4,75,8.3,
고흥,2023.3.10,11.9,,0.7,66.6,9.7,
고흥,2023.3.11,12,,0.6,84.3,4.8,
고흥,2023.3.12,8,12,2.7,80.1,1.1,
고흥,2023.3.13,4.2,,2.4,44.1,10.3,
고흥,2023.3.14,6,,1.2,71.4,10.3,
고흥,2023.3.15,12.6,,1.4,71.5,10.2,
고흥,2023.3.16,9.9,,2.1,42,9.3,
고흥,2023.3.17,9,0,0.9,56.8,0.9,
고흥,2023.3.18,10.3,,2.3,45.1,8.2,
고흥,2023.3.19,9.1,,1.4,52.4,10.2,
고흥,2023.3.20,9.1,,0.9,71.9,8.1,
고흥,2023.3.21,12.5,0,1.1,72,0,
고흥,2023.3.22,13.8,1.4,1,91.1,0,
고흥,2023.3.23,15.6,13.7,1.5,90.1,0.1,
고흥,2023.3.24,11,19.9,1,97.4,0,
고흥,2023.3.25,10.9,0.1,0.8,81.9,3.7,
고흥,2023.3.26,10.4,0,2.3,57.1,7.9,
고흥,2023.3.27,8.8,,2.4,32.8,10.6,
고흥,2023.3.28,8.9,,0.8,53.9,9.8,
고흥,2023.3.29,10.2,,0.8,66.5,10.5,
고흥,2023.3.30,12,,0.6,59.6,6.9,
고흥,2023.3.31,13.9,,1,47.8,10.4,
고흥,2023.4.1,13.1,,0.9,60,10.6,
고흥,2023.4.2,14.4,,1.7,52,10.7,
고흥,2023.4.3,14.3,,2.2,51.6,10.9,
고흥,2023.4.4,14.3,7.7,2.3,75.4,1.8,
고흥,2023.4.5,14.2,54.7,4,88,0.1,
고흥,2023.4.6,10.2,3.5,2.3,84.1,0,
고흥,2023.4.7,9.9,0.9,3.2,65.6,8.4,
고흥,2023.4.8,9,,3.4,45.5,10.7,
고흥,2023.4.9,10.3,,1.3,54.5,11.1,
고흥,2023.4.10,10.7,,1.4,70.4,11,
고흥,2023.4.11,14.5,1,1.4,83.4,3.4,
고흥,2023.4.12,12.9,,2.1,32.6,10.8,
고흥,2023.4.13,11.7,,1,46.8,10.4,
고흥,2023.4.14,11.8,7.4,0.9,91.3,0,
고흥,2023.4.15,13.6,1.1,1.5,81.3,1.5,
고흥,2023.4.16,11.1,0,1.3,75.1,5.4,
고흥,2023.4.17,12.1,,1.1,67.4,11.3,
고흥,2023.4.18,17.3,0,1.9,84.9,0.7,
고흥,2023.4.19,16.4,0,0.9,98.4,0,
고흥,2023.4.20,18.7,,1.2,77.6,9.8,
고흥,2023.4.21,17.3,,1.2,72.4,6.6,
고흥,2023.4.22,14.1,,1.9,48.3,10.8,
고흥,2023.4.23,13,,1.1,55.1,0.8,
고흥,2023.4.24,12.8,0.1,1.2,59.3,0,
고흥,2023.4.25,10,3.9,1,85.4,0,
고흥,2023.4.26,10.3,,2.6,67.8,11,
고흥,2023.4.27,11.5,,0.9,75.6,10.8,
고흥,2023.4.28,14.6,0.4,1,83.9,4.3,
고흥,2023.4.29,15.3,7.6,2.2,88.5,0,
고흥,2023.4.30,12.9,,2.3,63.5,11.9,
고흥,2023.5.1,14.5,,1.5,60.5,11.9,
