발전기명,R²,RMSE,데이터 수
당진자재창고태양광,0.9022,0.341,1161
당진태양광,0.8024,0.695,1160
당진화력수상태양광,0.8573,0.561,1161
동해바이오화력본부 태양광,0.9427,0.547,431
울산태양광#1,0.9067,0.2187,864
