변수명,평균 중요도
설비용량(MW),0.0003877670750298332
평균 풍속(m/s),0.015371235144454876
일강수량(mm),0.01643092079006492
평균 상대습도(%),0.021027513545511668
평균기온(°C),0.027663952514745235
합계 일조시간(hr),0.33895901887858193
합계 일사량(MJ/m2),0.5801595920516115
