발전기명,R²,RMSE,데이터 수
보령태양광,0.939,1.231,269
서울태양광,0.9461,0.4658,687
서천태양광,0.8082,2.6077,696
세종태양광,0.981,0.0707,679
신보령태양광,0.8353,2.5863,267
여수엑스포태양광,0.9696,0.6431,693
인천아시아드태양광,0.7633,1.256,235
인천태양광,0.9269,0.5621,678
제주대태양광,0.9035,0.5454,676
제주성읍리태양광,0.711,1.8156,236
제주태양광,0.9263,0.4783,696
