변수명,평균 중요도
설비용량(MW),0.0
일강수량(mm),0.0060400453955015004
평균 풍속(m/s),0.013154689163981634
평균 상대습도(%),0.018187226849840143
평균기온(°C),0.03241096509655935
합계 일조시간(hr),0.07761230367770208
합계 일사량(MJ/m2),0.8525947698164152
