단계,사용 변수,R²,RMSE(참고용),변수명,p-value
기존 모델,"설비용량(MW), 평균기온(°C), 일강수량(mm), 평균 풍속(m/s), 평균 상대습도(%), 합계 일조시간(hr), 합계 일사량(MJ/m2)",0.824128846108072,,,
유의 변수 모델,"설비용량(MW), 평균기온(°C), 일강수량(mm), 평균 상대습도(%), 합계 일조시간(hr), 합계 일사량(MJ/m2)",0.8240517215465843,,,
,,,,설비용량(MW),0.0
,,,,평균기온(°C),4.223403274580897e-12
,,,,일강수량(mm),0.008894408308436555
,,,,평균 풍속(m/s),0.11068287552278164
,,,,평균 상대습도(%),5.036155497514493e-05
,,,,합계 일조시간(hr),1.0286090101107774e-25
,,,,합계 일사량(MJ/m2),2.0281461873028616e-138
