시도	날짜	풍속	기온	일조시간	일사량	발전설비	발전량
강원	2024년 11월	1.430714286	8.160714286	147.9571429	170.9607143	1879.015063	"136,185.09"
강원	2024년 12월	1.815829493	-0.377666228	183.0357143	178.5821429	1890.700508	"144,762.88"
경기	2020년 1월	1.185806452	0.590967742	171.82	157.06	688.806916	"51,912.46"
경기	2020년 2월	1.417931034	1.758103448	175.4	185.376	711.133594	"60,680.35"
경기	2020년 3월	1.853548387	6.907741935	248.14	308.384	711.133594	"95,588.14"
경기	2020년 4월	2.104	10.336	282.62	369.388	722.15432	"109,507.84"
경기	2020년 5월	1.48516129	17.34322581	192.26	325.718	753.261425	"96,252.98"
경기	2020년 6월	1.458	22.95733333	220.02	362.204	771.263625	"102,305.61"
경기	2020년 7월	1.388387097	23.21354839	142.32	282.978	785.909025	"80,254.89"
경기	2020년 8월	1.476129032	25.77870968	99.02	206.032	800.033374	"64,510.23"
경기	2020년 9월	1.474	19.94533333	181.54	265.044	818.844733	"86,640.55"
경기	2020년 10월	1.098064516	12.38322581	224.48	247.838	839.467942	"92,308.15"
경기	2020년 11월	1.33	6.627333333	172.78	162.694	853.779796	"66,707.95"
경기	2020년 12월	1.296129032	-1.65516129	197.22	158.352	893.390091	"63,130.39"
경기	2021년 1월	1.456129032	-3.676774194	187.56	160.94	904.322205	"66,537.36"
경기	2021년 2월	1.770714286	1.617857143	193.24	198.464	932.040565	"85,837.05"
경기	2021년 3월	1.550322581	7.896129032	220.94	278.742	974.163415	"112,209.13"
경기	2021년 4월	1.730666667	13.16333333	222.9	328.814	986.870965	"126,309.41"
경기	2021년 5월	1.552258065	16.06	199.92	331.03	986.394045	"121,257.92"
경기	2021년 6월	1.297333333	21.856	199.34	341.518	1008.170735	"124,658.24"
경기	2021년 7월	1.183225806	26.63935484	233.58	369.94	1037.859125	"133,539.61"
경기	2021년 8월	1.216774194	24.65548387	145.78	270.92	1049.393455	"101,949.02"
경기	2021년 9월	1.324666667	21.23	182.42	271.154	1087.561735	"109,733.12"
경기	2021년 10월	1.080645161	14.16258065	176.54	215.304	1087.163885	"98,738.26"
경기	2021년 11월	1.209333333	6.704666667	162.36	157.328	1094.38602	"76,244.21"
경기	2021년 12월	1.383870968	-0.558709677	177.7	148.79	1107.338835	"76,561.7"
경기	2022년 1월	1.184516129	-3.34655914	206.36	178.932	1103.116435	"92,907.6"
경기	2022년 2월	1.732142857	-1.993571429	211.88	217.56	1113.80648	"113,260.35"
경기	2022년 3월	1.576129032	6.630322581	179.78	250.556	1123.96003	"118,872.02"
경기	2022년 4월	1.676	13.44533333	254.96	361.324	1137.54205	"163,250.8"
경기	2022년 5월	1.676129032	17.64709677	293.12	434.152	1169.98391	"185,157.52"
경기	2022년 6월	1.631333333	22.21733333	152.38	277.034	1200.52175	"123,226.05"
경기	2022년 7월	1.232903226	26.07976344	172.56	324.848	1202.72103	"138,579.39"
경기	2022년 8월	1.278064516	24.7083871	132.76	258.306	1232.32139	"111,645.38"
경기	2022년 9월	1.144	20.50066667	199.42	288.046	1237.203615	"136,097.28"
경기	2022년 10월	0.993548387	12.88	201.96	238.266	1239.521525	"126,260.34"
경기	2022년 11월	1.01	8.17	175.04	166.98	1261.98519	"95,528.35"
경기	2022년 12월	1.144516129	-4.603225806	189.38	159.32	1277.785695	"72,361.68"
경기	2023년 1월	1.146451613	-3.075204301	185.42	166.748	1308.62329	"96,125.05"
경기	2023년 2월	1.197857143	0.987857143	188.32	210.644	1329.782655	"122,294.1"
경기	2023년 3월	1.485806452	8.375483871	237.62	298.918	1340.95741	"163,063.01"
경기	2023년 4월	1.656666667	12.79347126	185.54	295.356	1336.72006	"153,173.97"
경기	2023년 5월	1.375483871	18.1116129	230.48	378.948	1351.12463	"185,172.38"
경기	2023년 6월	1.322666667	22.37933333	199	352.216	1372.05338	"173,452.59"
경기	2023년 7월	1.283225806	25.62516129	152.36	304.272	1388.279015	"144,538.02"
경기	2023년 8월	1.220645161	26.01741935	171.88	300.462	1402.55221	"153,068.94"
경기	2023년 9월	1.026666667	22.18266667	157.36	260.04	1411.547885	"138,017.89"
경기	2023년 10월	0.95483871	13.63677419	192.62	244.758	1433.29132	"145,965.18"
경기	2023년 11월	1.565333333	5.867333333	163.8	162.838	1455.46152	"109,547.6"
경기	2023년 12월	1.321290323	0.005612903	139.58	131.59	1481.509595	"80,692.65"
경기	2024년 1월	1.247096774	-1.578064516	161.36	160.906	1511.556115	"106,585.17"
경기	2024년 2월	1.29862069	2.799310345	111.78	155.642	1550.697621	"100,112.41"
경기	2024년 3월	1.729032258	5.984516129	201.22	279.156	1571.061826	"185,606.73"
경기	2024년 4월	1.392	15.09333333	206.6	324.62	1598.483396	"199,152.49"
경기	2024년 5월	1.478064516	17.35806452	244.94	390.158	1605.138601	"238,659.78"
경기	2024년 6월	1.318666667	22.984	271.26	426.332	1628.362126	"247,094.64"
경기	2024년 7월	1.574193548	25.7730812	96.58	255.362	1693.979676	"160,177.87"
경기	2024년 8월	1.141935484	27.84580645	208	343.864	1728.143276	"218,613.86"
경기	2024년 9월	1.160666667	23.95666667	168.34	262.744	1732.094476	"180,557"
경기	2024년 10월	0.980645161	14.87225806	150.9	214.494	1786.045411	"157,946"
경기	2024년 11월	1.064666667	8.106	166.92	173.062	1817.457911	"135,637.64"
경기	2024년 12월	1.185806452	-0.928387097	186.74	165.258	1849.805241	"135,941.28"
경남	2020년 1월	1.481105991	3.979032258	145.9571429	117.6464286	745.952045	"56,549.76"
경남	2020년 2월	1.600492611	5.153779941	198.2642857	175.9964286	776.5829	"78,339.43"
경남	2020년 3월	1.849078341	9.215437788	235.8857143	264.8385714	776.5829	"102,978.29"
경남	2020년 4월	1.987783251	11.80612297	262.75	313.2164286	786.758983	"115,971.25"
경남	2020년 5월	1.601152074	18.32396313	217.7642857	307.7828571	821.973102	"105,652.07"
경남	2020년 6월	1.444047619	23.15619048	217.0285714	313.1557143	834.412652	"102,720.43"
경남	2020년 7월	1.161751152	22.73870968	84.95	186.4921429	864.794982	"67,347.07"
경남	2020년 8월	1.530768049	27.30374808	176.7071429	260.7564286	888.065787	"91,718.55"
경남	2020년 9월	1.499835796	20.8352381	144.6857143	202.2471429	908.411157	"84,362.57"
경남	2020년 10월	1.314976959	15.06520737	219.9428571	224.8821429	938.178077	"110,370.44"
경남	2020년 11월	1.449285714	9.852380952	182.0714286	157.0407143	956.900937	"85,043.98"
경남	2020년 12월	1.625	2.047576672	197.1357143	152.2435714	985.509244	"84,670.49"
경남	2021년 1월	1.691816304	1.226835637	185.4571429	156.6642857	991.23525	"89,630.37"
경남	2021년 2월	1.956632653	5.22755102	188.9571429	185.8357143	1028.950965	"104,408.64"
경남	2021년 3월	1.715445469	10.25921659	211.7214286	248.2721429	1064.765265	"126,679.59"
경남	2021년 4월	1.819285714	14.08495074	236.9928571	303.8028571	1073.948085	"146,482.17"
경남	2021년 5월	1.710652842	17.77166667	204.1928571	296.32	1081.165095	"137,507.8"
경남	2021년 6월	1.317372742	22.28900657	190.3357143	295.7414286	955.958225	"130,981.65"
경남	2021년 7월	1.379193548	26.32580645	191.1214286	294.3435714	1122.52971	"131,958.94"
경남	2021년 8월	1.315847414	25.87654378	154.4357143	245.0078571	1135.21634	"113,859.25"
경남	2021년 9월	1.308390844	22.0752381	108.3071429	181.2514286	1153.234644	"93,931.2"
경남	2021년 10월	1.189861751	16.42538402	202.1357143	212.9507143	1168.889684	"123,199.86"
경남	2021년 11월	1.398407225	9.439285714	187.4428571	160.0021429	1185.428214	"102,115.98"
경남	2021년 12월	1.76359447	3.509677419	199.1214286	152.7957143	1244.116949	"108,576.89"
경남	2022년 1월	1.531797235	1.366359447	209.7785714	173.4071429	1268.899444	"123,700.39"
경남	2022년 2월	2.135204082	1.980357143	223.2642857	209.3464286	1282.677039	"142,179.83"
경남	2022년 3월	1.720046083	9.363364055	192.6785714	235.1042857	1324.420794	"150,658.56"
경남	2022년 4월	1.593095238	14.66642857	232.5285714	299.0107143	1333.865759	"178,698.95"
경남	2022년 5월	1.607373272	19.11039171	289.3785714	380.9185714	1355.255104	"211,406.41"
경남	2022년 6월	1.8	22.69519704	175.7142857	278.2685714	1386.548189	"156,365.28"
경남	2022년 7월	1.366129032	26.64285714	181.3	285.6242857	1370.776929	"155,602.28"
경남	2022년 8월	1.423271889	26.17557604	145.1142857	236.7207143	1394.284824	"134,026.48"
경남	2022년 9월	1.430291005	21.83809524	146.8428571	212.8957143	1374.560399	"137,286.88"
경남	2022년 10월	1.404032258	15.42001317	220.4214286	221.8914286	1382.431869	"163,119.57"
경남	2022년 11월	1.204285714	11.00214286	192.8214286	162.4628571	1420.249009	"125,448.4"
경남	2022년 12월	1.698156682	1.071021505	197.4714286	150.4228571	1445.550644	"121,086.56"
경남	2023년 1월	1.665668203	1.447196621	204.7571429	177.9885714	1467.819694	"137,044.81"
경남	2023년 2월	1.444897959	4.424234694	175.65	205.2928571	1481.95014	"141,396.48"
경남	2023년 3월	1.495040639	10.73772887	215.1642857	279.07	1495.25172	"183,099.5"
경남	2023년 4월	1.822857143	14.04642857	200.1571429	302.1728571	1504.630685	"182,988.76"
경남	2023년 5월	1.492857143	18.12386329	187.85	313.5478571	1516.67638	"181,122.2"
경남	2023년 6월	1.426190476	22.87238095	197.9785714	341.6785714	1533.40172	"191,906.09"
경남	2023년 7월	1.293317972	25.80050691	120.2071429	260.8914286	1552.387005	"143,608.11"
경남	2023년 8월	1.350668203	27.39018751	200.9785714	319.3357143	1560.28081	"178,204.55"
경남	2023년 9월	1.093415435	23.60341544	151.4357143	242.2257143	1566.044045	"149,106.28"
경남	2023년 10월	1.178571429	15.82379416	220.7071429	259.0257143	1581.60844	"181,723.12"
경남	2023년 11월	1.697380952	9.585952381	191.5	191.9321429	1606.274975	"147,691.45"
경남	2023년 12월	1.52235023	4.151313364	169.0428571	153.7407143	1626.497965	"122,097.11"
경남	2024년 1월	1.56843318	2.800921659	186.8214286	179.2514286	1653.144495	"146,705.2"
경남	2024년 2월	1.504926108	5.707635468	113.4785714	154.9821429	1677.20123	"117,365.83"
경남	2024년 3월	1.88202765	8.428801843	201.1071429	272.245	1693.52454	"198,303.12"
경남	2024년 4월	1.267528736	15.51170772	167.2142857	279.4842857	1708.694715	"188,063.39"
경남	2024년 5월	1.647449547	18.62557604	265.3357143	405.4271429	1718.70611	"259,797.01"
경남	2024년 6월	1.34952381	23.05421182	203.8	338.7971429	1735.485395	"216,889.3"
경남	2024년 7월	1.680875576	26.80921659	144.1142857	287.0471429	1777.39355	"182,168.55"
경남	2024년 8월	1.372662936	28.58362466	248.6	370.7592857	1800.10249	"236,546.39"
경남	2024년 9월	1.247993197	25.82904762	174.6857143	266.0807143	1801.03426	"186,415.54"
경남	2024년 10월	1.334254992	17.55214286	142.4142857	203.3085714	1840.07252	"161,561.85"
경남	2024년 11월	1.392298851	11.07688013	157.9	169.0878571	1873.321175	"146,695.35"
경남	2024년 12월	1.750230415	3.673271889	204.0214286	179.11	1905.51913	"163,452.03"
경북	2020년 1월	2.149078341	2.776036866	143.7714286	92.93857143	1323.898222	"91,407.15"
경북	2020년 2월	2.22955665	3.5091133	186.0571429	134.7557143	1384.8001	"127,019.43"
경북	2020년 3월	2.365207373	7.911628264	231.0928571	214.5214286	1384.8001	"174,719.33"
경북	2020년 4월	2.659761905	11.00261905	260.5857143	262.0128571	1421.443905	"194,487.96"
경북	2020년 5월	2.01843318	17.57211982	234.0714286	268.2571429	1472.687195	"186,432.54"
경북	2020년 6월	1.798809524	22.64309524	229.6714286	268.7814286	1512.462353	"181,094.86"
경북	2020년 7월	1.47235023	21.80715822	104.3142857	170.4792857	1577.042378	"124,607.41"
경북	2020년 8월	1.607142857	26.29228111	162.4928571	209.2307143	1596.661908	"150,976.3"
경북	2020년 9월	1.95547619	19.58642857	147.45	170.25	1625.566078	"141,580.2"
경북	2020년 10월	1.772427035	13.51313364	204.8714286	175.3964286	1662.798028	"171,458.15"
