변수명,중요도
설비용량(MW),0.6116400637744043
합계 일사량(MJ/m2),0.31537489226591786
합계 일조시간(hr),0.0415618061081547
평균기온(°C),0.013840557652496784
평균 상대습도(%),0.008373471091562997
평균 풍속(m/s),0.006692616010628566
일강수량(mm),0.002516593096834814
