시도,연,월,평균기온,일조시간,강수량,H_est_MJm2,H_est_kWhm2
강원,2020,1,0.506221198156682,159.44285714285712,-107.52142857142857,323.07865646558037,89.74407124043898
강원,2020,2,1.4852216748768472,179.53571428571428,-103.29285714285713,415.9977553043915,115.55493202899764
강원,2020,3,6.523041474654378,241.85,-139.80714285714285,701.7320217287827,194.92556159132852
강원,2020,4,9.640952380952381,250.75714285714284,-146.66428571428574,859.3542145327614,238.70950403687814
강원,2020,5,16.74516129032258,211.27857142857144,-21.292857142857144,740.7281418821086,205.7578171894746
강원,2020,6,22.417142857142856,224.92142857142858,-40.221428571428575,838.0061960540446,232.77949890390127
강원,2020,7,21.77327188940092,143.59285714285713,170.06428571428572,415.9398674899401,115.53885208053893
강원,2020,8,25.05990783410138,114.04285714285713,434.17857142857144,80.73064559554109,22.42517933209475
강원,2020,9,18.669999999999998,151.6142857142857,176.07142857142858,325.04592511781954,90.29053475494986
강원,2020,10,11.863594470046083,208.84285714285716,-237.79285714285714,664.6595374319444,184.6276492866512
강원,2020,11,6.990952380952381,180.70714285714286,-168.93571428571428,417.36507403335906,115.93474278704416
강원,2020,12,-1.5493087557603686,194.10714285714286,-224.80714285714285,388.4559373022961,107.90442702841558
강원,2021,1,-3.455299539170507,181.15714285714284,-158.85,361.00562276397005,100.27933965665834
강원,2021,2,1.7520408163265306,197.19285714285712,-189.17857142857142,492.035905843006,136.67664051194612
강원,2021,3,7.300921658986176,205.15714285714284,-92.94285714285715,594.9440822868966,165.26224507969349
강원,2021,4,11.93142857142857,221.56428571428572,-72.8,722.6326638233089,200.7312955064747
강원,2021,5,15.504147465437788,201.17142857142858,28.928571428571427,646.327332356477,179.53537009902135
강원,2021,6,20.568809523809524,184.28571428571428,-31.235714285714288,737.107895466571,204.7521931851586
강원,2021,7,25.29953917050691,236.14285714285714,-27.62857142857143,861.0177149562176,239.1715874878382
강원,2021,8,23.440552995391705,121.45,150.72857142857143,398.32963468742395,110.64712074650664
강원,2021,9,19.90142857142857,163.10714285714286,-3.557142857142854,527.6670463741015,146.57417954836154
강원,2021,10,13.585253456221198,157.35714285714286,-58.09285714285714,442.01133259393237,122.78092572053676
강원,2021,11,6.903333333333334,171.94285714285712,-157.59285714285716,402.194545023525,111.72070695097916
강원,2021,12,0.04009216589861743,178.79285714285714,-180.6357142857143,353.3048514995862,98.14023652766284
강원,2022,1,-2.9410138248847923,202.59285714285716,-189.55714285714288,404.1298918880993,112.2583033022498
강원,2022,2,-1.8974489795918366,216.96428571428572,-197.04999999999998,507.78492003397923,141.05136667610535
강원,2022,3,6.2382488479262665,187.69285714285712,-79.11428571428571,548.8398708524401,152.45551968123337
강원,2022,4,13.212619047619047,252.25,-165.22857142857143,911.2992926487275,253.13869240242428
강원,2022,5,17.27557603686636,284.3642857142857,-184.18571428571428,1140.8525336610503,316.90348157251395
강원,2022,6,21.276666666666667,164.2357142857143,137.79285714285714,480.9092568825386,133.58590468959406
강원,2022,7,24.79331797235023,161.53571428571428,119.85714285714286,515.4432033888061,143.1786676080017
강원,2022,8,23.733179723502303,124.05714285714285,327.89285714285717,196.10216664436774,54.47282406787993
강원,2022,9,19.36285714285714,184.45000000000002,14.064285714285715,532.4584799857901,147.90513332938613
강원,2022,10,12.258986175115208,158.93571428571428,-4.421428571428569,398.8814049548796,110.80039026524432
강원,2022,11,8.212380952380952,174.37857142857143,-128.35,390.6650793187997,108.51807758855547
강원,2022,12,-3.597926267281106,172.82142857142858,-213.25,352.3392289492698,97.87200804146381
강원,2023,1,-2.6827188940092164,172.42857142857142,-141.71428571428572,344.36121490476614,95.6558930291017
강원,2023,2,0.9415816326530612,178.37142857142857,-189.72857142857143,461.50014876488586,128.19448576802384
강원,2023,3,8.257603686635944,229.17142857142858,-220.23571428571427,774.0575202949092,215.01597785969696
강원,2023,4,11.905,196.9,-100.64285714285714,713.535043188141,198.2041786633725
강원,2023,5,17.19815668202765,234.89285714285714,-68.0,853.5548594674735,237.09857207429818
강원,2023,6,20.746904761904762,218.87857142857143,51.99285714285714,676.6899645169204,187.96943458803344
강원,2023,7,24.874884792626727,162.97857142857143,164.18571428571428,462.95575501703195,128.59882083806443
강원,2023,8,24.99792626728111,154.68571428571428,194.49285714285716,398.15375241078266,110.59826455855072
강원,2023,9,20.74047619047619,155.20714285714286,36.73571428571428,476.03600878027765,132.23222466118824
강원,2023,10,13.180645161290323,192.27142857142857,-180.65714285714284,597.2586680726782,165.90518557574396
강원,2023,11,6.313095238095238,177.93571428571428,-112.68571428571428,379.7913263557295,105.4975906543693
강원,2023,12,-0.7115207373271889,149.8857142857143,-46.371428571428574,254.66699092611262,70.74083081280905
강원,2024,1,-1.5769585253456222,163.20714285714286,-190.34285714285716,363.88043709991643,101.07789919442122
강원,2024,2,1.4433497536945814,78.74285714285715,-38.55714285714286,263.44686906130244,73.17968585036178
강원,2024,3,5.108064516129033,176.00714285714284,-118.31428571428572,567.2050615633553,157.55696154537648
강원,2024,4,13.270714285714286,201.04285714285714,-166.72142857142856,813.264043445338,225.9066787348161
강원,2024,5,17.016129032258068,255.18571428571428,-96.63571428571427,937.2760431827774,260.35445643966034
강원,2024,6,22.315238095238097,240.32142857142858,-55.65714285714286,899.6679060864948,249.907751690693
강원,2024,7,25.621889400921656,117.09285714285714,254.17142857142858,302.77171554762384,84.1032543187844
강원,2024,8,26.686175115207373,223.69285714285712,-64.8,845.0870281044432,234.74639669567864
강원,2024,9,22.354761904761904,133.6642857142857,168.80714285714288,327.40235204741754,90.9450977909493
