지표,합계,평균
1월,257774.49000000002,42962.415
2월,226052.02000000002,37675.33666666667
3월,430759.82,71793.30333333333
4월,471696.19999999995,78616.03333333333
5월,568439.3300000001,94739.88833333335
6월,566788.28,94464.71333333333
7월,374278.15,62379.69166666667
8월,503174.46,83862.41
9월,397836.62,66306.10333333333
10월,352549.01,58758.168333333335
11월,306741.82,51123.636666666665
12월,318011.0,53001.833333333336
