발전기명,데이터수,R²,RMSE,절편,설비용량(MW),평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
경상대태양광,1092,0.4791249033669267,0.8867953485556676,5.279356173970406,0.0,0.02953653253550875,-0.05350175759946865,0.03995026615608704
고흥만 수상태양광,487,0.7594069769014699,54.0331558673318,173.74428401809968,0.0,-1.194481552963945,-1.3638339847286427,6.152678050421861
광양항세방태양광,1095,0.5353053831860912,2.8791294212493184,12.43094712154648,0.0,0.1893014211785094,-0.14832497842980688,0.17258826635699387
구미태양광,1096,0.6010688818068877,0.8804567607580627,5.386544032072477,0.0,0.008041394094334419,-0.05302739663345406,0.04760235714415606
당진태양광,1185,0.6737698881975445,2.362212759573292,14.342355313519375,0.0,0.009280572394191083,-0.13583472420127024,0.21064965515694625
동해바이오화력본부 태양광,1185,0.3949833456495009,1.9071108675241693,4.580639340537316,0.0,0.03836315378284981,-0.039059033958537236,0.12428359348790605
보령태양광,700,0.6621163192377729,2.7048955265378285,3.9077583813281347,2.8719018640625165,-0.01230975097392516,-0.13445297224153188,0.27621980537112245
서울태양광,700,0.580019639095179,1.2166221574796818,6.582050687670494,0.0,-0.017664917408442803,-0.06482947515827672,0.09630300758540024
서천태양광,695,0.695474293142994,3.2612378242426843,18.241784012919787,0.0,0.054237865059697445,-0.1898301214557562,0.3090990047889896
세종태양광,698,0.8289869263101816,0.19435997894506213,1.7391191016227152,0.0,0.005106233887008023,-0.01830768229753278,0.019840933184683118
신보령태양광,700,0.5518331965960193,3.9872952249462963,18.05207954356401,0.0,-0.020038350741118763,-0.18928400073269053,0.39453267590703256
여수엑스포태양광,699,0.6195227638474596,2.1391343462600347,11.294509018756848,0.0,-0.041486887117300135,-0.1111767890189199,0.20038721637233745
영흥태양광,1096,0.6033796405339615,5.494851669175894,25.040461058661087,0.0,0.010610856469474893,-0.23066289535969964,0.3989426458538789
예천태양광,1095,0.3478136734951156,2.6879968320770784,13.098588100918656,0.0,0.026406153606753517,-0.13656053031676166,0.08054081374813929
울산태양광#1,1184,0.5427645119022912,0.4925330602670554,2.039074276613112,0.0,0.0174877181119506,-0.021991887704481523,0.03676184647458012
인천아시아드태양광,275,0.5740705517726556,2.8944022284527824,-9.302849911865227,3.480277040079569,0.06837626910249153,-0.007783309556231181,0.413345083340358
인천태양광,678,0.7304972733896028,1.0795908215619223,4.5470313788938554,0.0,-0.007635466384765596,-0.04419258049813672,0.11400659044944646
제주대태양광,700,0.5507596916828303,1.1913211773518548,2.7796658855453895,0.0,-0.0318115190106912,-0.024220320981535776,0.09653354615755347
제주성읍리태양광,700,0.43949721808366504,2.4101801533328113,5.817635301342211,0.0,-0.07556871104543322,-0.038966429628431554,0.1937632549252204
제주태양광,700,0.6506911661632783,0.9703086434370076,2.026414393323633,0.0,-0.013640925629591646,-0.0195833824642969,0.10852871252433172
