변수명,중요도
설비용량(MW),0.5794086008911101
합계 일사량(MJ/m2),0.2473282650922265
합계 일조시간(hr),0.13942978967929806
평균기온(°C),0.015409967335461126
평균 상대습도(%),0.00896716235306341
평균 풍속(m/s),0.006874575152849925
일강수량(mm),0.0025816394959909737
