변수명,중요도
합계 일사량(MJ/m2),0.535858871725707
설비용량(MW),0.35620806255214077
합계 일조시간(hr),0.053315036844933855
평균기온(°C),0.02555372899383693
평균 상대습도(%),0.013642622895886886
평균 풍속(m/s),0.010176742957170625
일강수량(mm),0.005244934030323939
