지역명,날짜,풍속,기온,습도,강수량,일조,일사
진주,20220115,0.4,-0.3,50.0,-9.0,6.6,10.42
진주,20220116,1.0,0.2,55.0,-9.0,8.7,11.58
진주,20220117,0.8,-1.6,55.8,-9.0,8.1,11.73
진주,20220118,0.8,-2.2,36.4,-9.0,8.8,13.74
진주,20220119,0.8,-1.6,47.4,-9.0,8.8,12.57
진주,20220120,1.0,-1.4,48.4,-9.0,8.9,13.43
진주,20220121,0.4,-1.9,55.3,-9.0,9.0,12.84
진주,20220122,0.4,2.3,62.0,-9.0,5.0,8.97
진주,20220123,0.4,5.2,69.8,-9.0,3.6,7.96
진주,20220124,1.0,3.9,66.4,-9.0,1.8,6.48
진주,20220125,0.4,3.8,70.4,-9.0,0.8,5.04
진주,20220126,0.6,2.0,66.8,-9.0,9.1,12.86
진주,20220127,0.4,2.3,59.3,-9.0,9.1,12.33
진주,20220128,0.7,2.0,44.6,-9.0,8.7,14.3
진주,20220129,1.5,3.4,25.1,-9.0,7.6,12.51
진주,20220130,1.0,2.1,28.5,-9.0,8.9,12.32
진주,20220131,0.7,-0.1,41.5,-9.0,9.4,15.04
창원,20220101,1.9,-0.5,28.0,-9.0,8.8,10.99
창원,20220102,1.0,2.4,40.4,-9.0,8.5,9.81
창원,20220103,1.3,2.1,35.4,-9.0,8.8,10.85
창원,20220104,1.1,2.4,43.6,-9.0,8.1,10.02
창원,20220105,1.4,2.7,35.0,0.0,0.8,4.88
창원,20220106,2.0,4.2,32.9,0.0,8.4,11.09
창원,20220107,1.0,2.4,41.3,-9.0,8.6,10.72
창원,20220108,1.3,3.1,32.3,-9.0,8.6,11.08
창원,20220109,1.1,3.5,55.0,-9.0,6.7,7.77
창원,20220110,1.2,4.5,59.4,-9.0,7.3,9.18
창원,20220111,2.1,0.3,33.1,-9.0,8.4,11.37
창원,20220112,1.7,-2.4,36.1,-9.0,8.9,11.7
창원,20220113,1.5,-2.2,32.0,0.0,8.3,10.77
창원,20220114,1.6,-2.2,33.3,-9.0,8.9,11.94
창원,20220115,0.8,1.4,28.9,-9.0,4.9,9.3
창원,20220116,1.2,2.5,42.6,-9.0,7.2,9.8
창원,20220117,1.4,0.0,40.6,-9.0,7.2,10.18
창원,20220118,1.8,-1.9,25.4,-9.0,8.9,12.35
창원,20220119,1.6,0.8,35.9,0.0,8.8,11.18
창원,20220120,1.5,-0.5,36.6,-9.0,8.8,11.99
창원,20220121,1.0,1.1,43.0,-9.0,8.8,11.66
창원,20220122,1.0,4.1,59.3,-9.0,6.9,10.57
창원,20220123,0.9,7.0,60.6,-9.0,0.6,6.36
창원,20220124,2.3,5.1,56.8,-9.0,0.2,4.82
창원,20220125,1.2,5.0,57.9,0.0,0.4,4.68
창원,20220126,1.8,4.1,48.5,-9.0,8.8,11.79
창원,20220127,1.9,4.8,32.4,-9.0,8.4,12.05
창원,20220128,2.2,2.9,24.6,-9.0,8.4,13.34
창원,20220129,2.3,1.7,24.3,-9.0,6.7,10.79
창원,20220130,2.3,1.8,21.4,-9.0,8.4,11.11
창원,20220131,1.9,1.6,29.5,-9.0,9.1,13.85
홍성,20220101,0.5,-5.5,69.8,-9.0,8.7,10.07
홍성,20220102,1.1,-0.6,68.1,0.0,7.4,9.85
홍성,20220103,0.7,-2.0,77.0,-9.0,7.5,8.5
홍성,20220104,1.2,-0.9,63.8,0.0,9.0,11.01
홍성,20220105,0.7,-3.1,69.6,-9.0,0.0,5.0
홍성,20220106,0.9,-2.3,68.9,-9.0,9.2,11.73
홍성,20220107,0.4,-3.0,70.9,-9.0,9.1,11.3
홍성,20220108,0.9,0.3,73.8,-9.0,4.1,7.07
홍성,20220109,0.6,1.0,77.5,-9.0,7.3,8.1
홍성,20220110,0.3,-0.3,78.9,0.1,2.1,6.09
홍성,20220111,2.9,-3.7,57.4,0.2,8.8,11.77
홍성,20220112,1.0,-5.4,62.5,0.0,9.2,11.87
홍성,20220113,2.0,-4.5,67.6,0.5,5.5,7.37
홍성,20220114,0.9,-4.6,60.0,-9.0,9.3,12.52
홍성,20220115,0.8,0.2,64.1,0.0,2.4,6.69
홍성,20220116,2.4,0.3,54.3,0.0,9.0,11.92
홍성,20220117,1.4,-3.4,67.8,0.3,5.7,9.04
홍성,20220118,0.8,-5.5,61.5,-9.0,9.3,13.05
홍성,20220119,1.5,-3.9,72.5,1.0,2.9,5.47
홍성,20220120,1.0,-5.4,73.4,-9.0,9.4,13.16
홍성,20220121,0.5,-3.8,64.1,-9.0,9.5,12.18
홍성,20220122,0.5,0.3,65.3,-9.0,1.6,6.09
홍성,20220123,1.4,2.0,64.6,-9.0,6.0,9.1
홍성,20220124,0.7,2.9,68.9,-9.0,4.5,7.4
홍성,20220125,0.8,4.1,72.5,0.0,0.0,2.24
홍성,20220126,1.0,1.4,68.8,-9.0,7.2,10.01
홍성,20220127,0.9,-1.2,67.6,-9.0,9.3,12.4
홍성,20220128,0.9,-1.8,65.6,-9.0,9.4,13.45
홍성,20220129,1.1,-3.2,62.8,-9.0,9.4,13.99
홍성,20220130,0.9,-2.9,60.8,-9.0,9.6,14.03
홍성,20220131,1.2,-0.7,68.8,3.1,9.6,13.66
