지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
보령,2023.3.14,신보령태양광,4.038,23.245909,9.6,,4.2,48,10.5,
보령,2023.3.15,신보령태양광,4.038,14.186911,10.5,,3.5,61.1,5.4,
보령,2023.3.16,신보령태양광,4.038,18.985064,5.5,,2.2,33.5,7.3,
보령,2023.3.17,신보령태양광,4.038,8.040311,6.9,,1.7,42.5,0.4,
보령,2023.3.18,신보령태양광,4.038,21.071615,6.8,,1.1,49.3,9.4,
보령,2023.3.19,신보령태양광,4.038,16.337583,5.5,,0.7,71.9,9.5,
보령,2023.3.20,신보령태양광,4.038,19.872381,6.3,,0.9,66.4,9.9,
보령,2023.3.21,신보령태양광,4.038,20.630009,10.8,,1.3,46,10.2,
보령,2023.3.22,신보령태양광,4.038,13.673953,13.6,0,1.4,47.1,5.5,
보령,2023.3.23,신보령태양광,4.038,10.933422,12.1,2.3,1.1,71.8,2.9,
보령,2023.3.24,신보령태양광,4.038,14.326963,8.4,,0.9,53.3,6.4,
보령,2023.3.25,신보령태양광,4.038,20.830083,7.8,,1.1,71.4,9,
보령,2023.3.26,신보령태양광,4.038,23.16275,7.1,,1.2,54.6,9.8,
보령,2023.3.27,신보령태양광,4.038,22.772967,5.2,,0.4,59.5,10.5,
보령,2023.3.28,신보령태양광,4.038,12.576439,6.6,,0.6,54.9,3.6,
보령,2023.3.29,신보령태양광,4.038,20.193221,8.9,,1.2,63.9,10.3,
보령,2023.3.30,신보령태양광,4.038,19.484768,11.7,,0.9,41.4,9.8,
보령,2023.3.31,신보령태양광,4.038,21.098374,11.4,,0.3,43,10.7,
보령,2023.4.1,신보령태양광,4.038,20.055819,13.2,,0.3,47.6,10.3,
보령,2023.4.2,신보령태양광,4.038,20.510927,17.3,,1.9,30.6,10.5,
보령,2023.4.3,신보령태양광,4.038,20.400527,17.6,,2,27.4,10.6,
보령,2023.4.4,신보령태양광,4.038,8.109252,15.9,5.9,2.3,54.3,1.2,
보령,2023.4.5,신보령태양광,4.038,1.030501,12.2,28.8,4.9,90,0,
보령,2023.4.6,신보령태양광,4.038,1.931795,8.5,3.2,2.4,94.3,0,
보령,2023.4.7,신보령태양광,4.038,17.555862,7,,0.9,75.3,5.2,
보령,2023.4.8,신보령태양광,4.038,24.825287,7.3,,0.8,73,10.8,
보령,2023.4.9,신보령태양광,4.038,24.22121,8.1,,1.7,70.1,10.8,
보령,2023.4.10,신보령태양광,4.038,22.654852,12.7,,4.1,51,10.3,
보령,2023.4.11,신보령태양광,4.038,2.593728,13.3,,4.7,78.3,0.4,
보령,2023.4.12,신보령태양광,4.038,22.805988,8.6,,0.3,56.9,10.4,
보령,2023.4.13,신보령태양광,4.038,20.554317,11.3,,0.9,44.1,9.8,
보령,2023.4.14,신보령태양광,4.038,16.270571,14.7,,1.4,56,4.8,
보령,2023.4.15,신보령태양광,4.038,10.595467,11.3,1.4,0.9,84.6,3.3,
보령,2023.4.16,신보령태양광,4.038,18.367246,10.3,,0.6,77.6,9.2,
보령,2023.4.17,신보령태양광,4.038,20.793441,12.9,,1.3,61,9.9,
보령,2023.4.18,신보령태양광,4.038,1.889613,15.7,0.7,2.2,84.5,0,
보령,2023.4.19,신보령태양광,4.038,22.299054,17.4,,1.3,79.3,10.2,
보령,2023.4.20,신보령태양광,4.038,14.030228,15.7,,0.6,88,5.9,
보령,2023.4.21,신보령태양광,4.038,17.663371,15.8,,2.2,55.6,6.6,
보령,2023.4.22,신보령태양광,4.038,19.099081,17.2,,1.8,29,6.6,
보령,2023.4.23,신보령태양광,4.038,11.754206,15.4,,1,41.8,1.1,
보령,2023.4.24,신보령태양광,4.038,16.97372,13.6,,1.6,47.8,5.7,
보령,2023.4.25,신보령태양광,4.038,6.073806,10.2,0.7,0.9,69.9,0,
보령,2023.4.26,신보령태양광,4.038,15.918151,8.4,,0.9,76,5.5,
보령,2023.4.27,신보령태양광,4.038,23.715722,9.9,,1.2,66.6,11.1,
보령,2023.4.28,신보령태양광,4.038,15.660465,15.1,0.2,1.9,62.6,6.6,
