발전기명,변수명,회귀계수,p-value,유의성,R²,RMSE,데이터수
보령태양광,설비용량(MW),2.439868508647164,0.004880704671442616,**,0.9294586625495412,1.3651025745954486,269
보령태양광,평균기온(°C),-0.08542678754642463,1.939846693906052e-08,***,0.9294586625495412,1.3651025745954486,269
보령태양광,일강수량(mm),-0.0011490082844916672,0.855047603315353,,0.9294586625495412,1.3651025745954486,269
보령태양광,평균 풍속(m/s),-0.14888672086910093,0.08795008539727156,,0.9294586625495412,1.3651025745954486,269
보령태양광,평균 상대습도(%),-0.0218078981635206,0.05161080980314751,,0.9294586625495412,1.3651025745954486,269
보령태양광,합계 일조시간(hr),0.36302326852556177,1.5803772530154606e-10,***,0.9294586625495412,1.3651025745954486,269
보령태양광,합계 일사량(MJ/m2),0.4550106588709694,1.0512960034182493e-41,***,0.9294586625495412,1.3651025745954486,269
서울태양광,설비용량(MW),1.850099331650366,4.649246635164866e-22,***,0.9051962652086617,0.6510598564161543,685
서울태양광,평균기온(°C),-0.01151447970290459,0.004818188095942043,**,0.9051962652086617,0.6510598564161543,685
서울태양광,일강수량(mm),-0.007952761364017711,0.0005687025601466719,***,0.9051962652086617,0.6510598564161543,685
서울태양광,평균 풍속(m/s),0.002205976980395763,0.9570294356718633,,0.9051962652086617,0.6510598564161543,685
서울태양광,평균 상대습도(%),-0.01498385001703769,1.1336151087667864e-07,***,0.9051962652086617,0.6510598564161543,685
서울태양광,합계 일조시간(hr),0.214361494701662,1.0318160633879497e-36,***,0.9051962652086617,0.6510598564161543,685
서울태양광,합계 일사량(MJ/m2),0.13624057741560172,2.3507105933661927e-39,***,0.9051962652086617,0.6510598564161543,685
서천태양광,설비용량(MW),2.664500114104953,1.3391954322452065e-08,***,0.8517566518677515,2.333938697116847,691
서천태양광,평균기온(°C),-0.005486905187553404,0.7245656583648651,,0.8517566518677515,2.333938697116847,691
서천태양광,일강수량(mm),-0.004913827001912674,0.4481769874493404,,0.8517566518677515,2.333938697116847,691
서천태양광,평균 풍속(m/s),-0.5450314656408658,2.0315249225002324e-05,***,0.8517566518677515,2.333938697116847,691
서천태양광,평균 상대습도(%),-0.02253469329856405,0.022831783616238808,*,0.8517566518677515,2.333938697116847,691
서천태양광,합계 일조시간(hr),0.2109136792201649,0.0002490514751157659,***,0.8517566518677515,2.333938697116847,691
서천태양광,합계 일사량(MJ/m2),0.6094750511572493,4.873605524869407e-53,***,0.8517566518677515,2.333938697116847,691
세종태양광,설비용량(MW),1.4142101023455718,1.0094818849573406e-32,***,0.9674884129886306,0.08903024227490162,679
세종태양광,평균기온(°C),-0.0026920307591927137,9.826855001743083e-06,***,0.9674884129886306,0.08903024227490162,679
세종태양광,일강수량(mm),-0.0003457989448430493,0.07583875099971794,,0.9674884129886306,0.08903024227490162,679
세종태양광,평균 풍속(m/s),-0.012494818609496222,0.07131787575623819,,0.9674884129886306,0.08903024227490162,679
세종태양광,평균 상대습도(%),-0.0034477977941382992,5.20023872567397e-17,***,0.9674884129886306,0.08903024227490162,679
세종태양광,합계 일조시간(hr),0.031013785005786762,8.976814579852455e-34,***,0.9674884129886306,0.08903024227490162,679
세종태양광,합계 일사량(MJ/m2),0.04764619424365587,6.179439168483762e-143,***,0.9674884129886306,0.08903024227490162,679
신보령태양광,설비용량(MW),1.3352258395280823,0.0003378533793015665,***,0.8684115161172071,2.388369088476152,267
신보령태양광,평균기온(°C),-0.07804003413002494,0.002511150402139075,**,0.8684115161172071,2.388369088476152,267
신보령태양광,일강수량(mm),-0.005574454073191879,0.6124519316142004,,0.8684115161172071,2.388369088476152,267
신보령태양광,평균 풍속(m/s),0.2475000531340285,0.10550823093026342,,0.8684115161172071,2.388369088476152,267
신보령태양광,평균 상대습도(%),-0.03343707818546121,0.08449604471405057,,0.8684115161172071,2.388369088476152,267
신보령태양광,합계 일조시간(hr),0.4632618047974435,1.8100725393985026e-06,***,0.8684115161172071,2.388369088476152,267
신보령태양광,합계 일사량(MJ/m2),0.5743550419289644,4.8305190388758284e-26,***,0.8684115161172071,2.388369088476152,267
여수엑스포태양광,설비용량(MW),2.012477975579137,6.384035250407082e-39,***,0.9331508492181712,0.9395544605915621,692
여수엑스포태양광,평균기온(°C),-0.048912851852373485,1.0801456060849011e-11,***,0.9331508492181712,0.9395544605915621,692
여수엑스포태양광,일강수량(mm),-0.004296136330786043,0.09384849004596386,,0.9331508492181712,0.9395544605915621,692
여수엑스포태양광,평균 풍속(m/s),0.015976844713985583,0.4894572352850628,,0.9331508492181712,0.9395544605915621,692
여수엑스포태양광,평균 상대습도(%),-0.029686804829163305,3.2026434577207004e-13,***,0.9331508492181712,0.9395544605915621,692
여수엑스포태양광,합계 일조시간(hr),0.4285198650882407,1.8137601059183535e-71,***,0.9331508492181712,0.9395544605915621,692
여수엑스포태양광,합계 일사량(MJ/m2),0.209033000859026,2.4630614755748603e-55,***,0.9331508492181712,0.9395544605915621,692
인천아시아드태양광,설비용량(MW),0.8282055624214575,0.05049124146204674,,0.7876260643174503,1.6048559133074094,235
인천아시아드태양광,평균기온(°C),-0.00812976013227443,0.7526304414130502,,0.7876260643174503,1.6048559133074094,235
인천아시아드태양광,일강수량(mm),-0.017486478550310703,0.07682152972530919,,0.7876260643174503,1.6048559133074094,235
인천아시아드태양광,평균 풍속(m/s),0.09991180712783536,0.487530449429435,,0.7876260643174503,1.6048559133074094,235
인천아시아드태양광,평균 상대습도(%),-0.03375631247160493,0.005583138684292312,**,0.7876260643174503,1.6048559133074094,235
