발전기명,변수명,회귀계수,p-value,유의성,R²,RMSE,데이터수
당진자재창고태양광,설비용량(MW),0.963087790883663,2.6967089282736962e-08,***,0.8747250748343876,0.38801187773914564,1159
당진자재창고태양광,평균기온(°C),-0.0039052167014952087,0.030919064062481714,*,0.8747250748343876,0.38801187773914564,1159
당진자재창고태양광,일강수량(mm),-0.002402981349213548,0.0016157257266077414,**,0.8747250748343876,0.38801187773914564,1159
당진자재창고태양광,평균 풍속(m/s),-0.014491835842554049,0.24832571130372508,,0.8747250748343876,0.38801187773914564,1159
당진자재창고태양광,평균 상대습도(%),-0.0019082433412699199,0.16690348936749957,,0.8747250748343876,0.38801187773914564,1159
당진자재창고태양광,합계 일조시간(hr),0.0830154150656168,2.695393932898175e-29,***,0.8747250748343876,0.38801187773914564,1159
당진자재창고태양광,합계 일사량(MJ/m2),0.09304931353058661,4.388262239247242e-89,***,0.8747250748343876,0.38801187773914564,1159
당진태양광,설비용량(MW),1.3000948531992267,1.0002831956871798e-08,***,0.7940637445336888,0.7221659996476275,1158
당진태양광,평균기온(°C),-0.0044093303109951215,0.19001857874865574,,0.7940637445336888,0.7221659996476275,1158
당진태양광,일강수량(mm),-0.0041064866460564006,0.003775059058832339,**,0.7940637445336888,0.7221659996476275,1158
당진태양광,평균 풍속(m/s),-0.025240816943268074,0.28075277872220084,,0.7940637445336888,0.7221659996476275,1158
당진태양광,평균 상대습도(%),-0.005671981744238461,0.027964293678139435,*,0.7940637445336888,0.7221659996476275,1158
당진태양광,합계 일조시간(hr),0.1463079758537174,1.5986714138962562e-26,***,0.7940637445336888,0.7221659996476275,1158
당진태양광,합계 일사량(MJ/m2),0.10872302401899711,8.896682790353955e-40,***,0.7940637445336888,0.7221659996476275,1158
당진화력수상태양광,설비용량(MW),0.8358267664603412,2.7646570708732896e-06,***,0.855857537726334,0.5717098598041016,1159
당진화력수상태양광,평균기온(°C),-0.009724796963026021,0.0002720530329332361,***,0.855857537726334,0.5717098598041016,1159
당진화력수상태양광,일강수량(mm),-0.002345620042072982,0.0364938455186559,*,0.855857537726334,0.5717098598041016,1159
당진화력수상태양광,평균 풍속(m/s),-0.020526063063799296,0.26710463778113047,,0.855857537726334,0.5717098598041016,1159
당진화력수상태양광,평균 상대습도(%),-0.002597044520782572,0.20167660115563607,,0.855857537726334,0.5717098598041016,1159
당진화력수상태양광,합계 일조시간(hr),0.05681796190425706,9.669480592138619e-08,***,0.855857537726334,0.5717098598041016,1159
당진화력수상태양광,합계 일사량(MJ/m2),0.15695163834739867,5.854026855030823e-111,***,0.855857537726334,0.5717098598041016,1159
동해바이오화력본부 태양광,설비용량(MW),0.4107931401594265,0.005798390676492624,**,0.8977814855446665,0.7915935765651655,430
동해바이오화력본부 태양광,평균기온(°C),-0.052298823101959574,6.057488748978171e-14,***,0.8977814855446665,0.7915935765651655,430
동해바이오화력본부 태양광,일강수량(mm),-0.0073224126261311005,0.11175363245464383,,0.8977814855446665,0.7915935765651655,430
동해바이오화력본부 태양광,평균 풍속(m/s),0.06755641372535068,0.2268971687864469,,0.8977814855446665,0.7915935765651655,430
동해바이오화력본부 태양광,평균 상대습도(%),0.0050015697702677706,0.09481108334930033,,0.8977814855446665,0.7915935765651655,430
동해바이오화력본부 태양광,합계 일조시간(hr),0.052299808822244165,0.02864492818102384,*,0.8977814855446665,0.7915935765651655,430
동해바이오화력본부 태양광,합계 일사량(MJ/m2),0.2873028586553793,3.2388337339470564e-76,***,0.8977814855446665,0.7915935765651655,430
울산태양광#1,설비용량(MW),0.9768364282637193,1.6036117780713736e-10,***,0.875658601832159,0.26290938923901275,864
울산태양광#1,평균기온(°C),-0.005374576872409831,0.003223718683482562,**,0.875658601832159,0.26290938923901275,864
울산태양광#1,일강수량(mm),-0.0019821114383878997,0.01592022626081612,*,0.875658601832159,0.26290938923901275,864
울산태양광#1,평균 풍속(m/s),0.0067457733185108774,0.5834719843084742,,0.875658601832159,0.26290938923901275,864
울산태양광#1,평균 상대습도(%),-0.002201798713767567,0.019753281028398333,*,0.875658601832159,0.26290938923901275,864
울산태양광#1,합계 일조시간(hr),0.0450278053540837,2.1115548710970013e-14,***,0.875658601832159,0.26290938923901275,864
울산태양광#1,합계 일사량(MJ/m2),0.07032307932721495,5.99146272830781e-82,***,0.875658601832159,0.26290938923901275,864
